post,background
"🤔 Ti starai chiedendo quale sia il progetto alle spalle dello Stardust Hackathon: il Progetto Stardust.    ✨ Stardust è un progetto inserito nel Programma UE Horizon 2020 Smart Cities, che mira a unire alcune città europee avanzate, formando una costellazione di smart cities che si presentano come “isole di innovazione”, ossia delle città modello in quanto intelligenti, efficienti e orientate al cittadino.    🏙 7 città in 7 Paesi europei: 3 “città faro”, tra cui Trento, e 4 “città follower”. Le città faro costituiscono degli incubatori dove sperimentare soluzioni innovative da replicare successivamente nelle città follower, dimostrandone la bancabilità e la replicabilità.      💡 Stardust vuole illuminare il sentiero per le città per renderle più sostenibili e vivibili. Sarai anche tu dei nostri?  Iscriviti entro l’11 Maggio su !    , , , ,","1,126 followers"
"Si è svolta questa mattina la conferenza stampa di presentazione dei servizi che la Camera di Commercio di Bergamo e Bergamo Sviluppo mettono a disposizione degli istituti scolastici per l'orientamento e per il supporto alle attività di alternanza.    Dopo i saluti istituzionali da parte del Segretario Generale della Camera di commercio 𝗠𝗮𝗿𝗶𝗮 𝗣𝗮𝗼𝗹𝗮 𝗘𝘀𝗽𝗼𝘀𝗶𝘁𝗼 e del Direttore dell’Azienda Speciale 𝗖𝗿𝗶𝘀𝘁𝗶𝗮𝗻𝗼 𝗔𝗿𝗿𝗶𝗴𝗼𝗻𝗶 che ha illustrato tutte le attività programmate per il corrente anno scolastico da Bergamo Sviluppo, sono intervenuti:  - 𝐋𝐚𝐮𝐫𝐚 𝐒𝐭𝐫𝐚𝐮𝐥𝐢𝐧𝐨 di PTSCLAS, che ha presentato la nuova guida “# Failasceltagiusta 2022: quale scuola per quale lavoro in provincia di Bergamo” finalizzata a orientare i giovani che intendono proseguire i loro studi o valutare le opportunità lavorative della nostra provincia;  - 𝐌𝐚𝐫𝐜𝐨 𝐆𝐢𝐬𝐨𝐭𝐭𝐢 giornalista e divulgatore specializzato in tematiche ambientali nonché consulente del Ministro per la transizione ecologica dal 2019, ha introdotto il nuovo evento orientativo sul tema green per gli studenti dal titolo ""Il paese dei green jobs”.  - 𝐌𝐚𝐫𝐜𝐞𝐥𝐥𝐨 𝐑𝐚𝐳𝐳𝐢𝐧𝐨, rappresentante delle libere professioni nel Consiglio della Camera di Commercio ha portato il proprio contributo offrendo una panoramica delle libere professioni presenti sul territorio bergamasco (commercialisti, avvocati, consulenti del lavoro, architetti, ingegneri…).  - 𝐀𝐫𝐦𝐚𝐧𝐝𝐨 𝐏𝐞𝐫𝐬𝐢𝐜𝐨 𝐞 𝐅𝐢𝐥𝐢𝐩𝐩𝐨 𝐑𝐢𝐳𝐳𝐢𝐧𝐞𝐥𝐥𝐢, rispettivamente Teacher Community Manager di Junior Achievement e docente di fisica e matematica del liceo “Salesiani Don Bosco” di Treviglio, hanno presentato i 2 hackathon che saranno proposti alle scuole grazie al contributo della Camera di commercio. Il 14 novembre e il 21 novembre si terranno quindi rispettivamente 𝐆𝐑𝐄𝐄𝐍𝐇𝐀𝐂𝐊 𝐞 𝐃𝐈𝐆𝐈𝐇𝐀𝐂𝐊, due giornate esperienziali dedicate ai temi dell’economia circolare e del mondo digitale. Gli hackathon, che si realizzeranno nella sede del Point, Polo per l’innovazione tecnologica di Dalmine, si concluderanno con una visita ad alcune imprese e start up impegnate in progetti di ricerca legati a diverse tematiche dell’innovazione e della green economy.    Per maggiori informazioni sulle iniziative:","1,326 followers"
"""The secret of change is to focus all of your energy, not on fighting the old, but innovating the new."" – Socrates  Smart India Hackathon is a nationwide initiative to provide students a platform to solve some of the pressing problems we face daily, thus inculcating a culture of product innovation and a problem-solving mindset. SIH'22 is another step toward their goal. This year has given us some remarkable innovative minds. In the SIH 2022 grand finale members of TEAM CONATUS performed superlatively. The three teams comprising various young and thoughtful minds won the prize money of INR 100000 each for the problem statement that was given to them.    Team IDEAL BITS comprising Fourth-year co-ordinator , third-year co-ordinators and developed an application to facilitate IPR filing for the grassroots community. The problem statement was given by the Department for Promotion of Industry and Internal Trade(DPIT), Ministry of Commerce and Industry.    Team SWASTHYAWARDHAK comprising third-year co-ordinator as a team member developed a software application for interpreting doctor’s notes using handwriting recognition and deep learning techniques. The problem was given by Dell Technologies, Bangalore, India.    Under the SIH 2022 Hardware Category, Team POXYMORONS developed a blockchain application for tagging farming products. Our 4th-year co-ordinator is part of the team. The problem statement was presented by NIFTEM Thanjavur, Ministry of food processing industries (MoFPI).    Team Conatus bestows its heartiest congratulations to the winners and is obliged to them for uplifting the adage of excellence. We wish that the winners continue their dream run in their upcoming endeavours and continue to inspire everyone.",174 followers
"🟣 𝗕𝗼𝗼𝘁𝗰𝗮𝗺𝗽 𝗦𝗺𝗮𝗿𝘁&𝗛𝗮𝗰𝗸 𝗠𝗶𝗹𝗮𝗻𝗼 𝟮𝟬𝟮𝟮 🟣    Mancano pochi giorni al Bootcamp SMART&HACK, ideato da RISORSE SPA con l’obiettivo di avvicinare i giovani talenti alle aziende.  Durante la giornata del 5 ottobre, le aziende partecipanti presenteranno le loro challenge incentrate sul tema delle Smart City.  Ricordiamo che a partecipare, sono:  🔵  🔵  🔵  🔵  🔵    👉🏻 Sei unə studente/laureandə/neolaureatə? Segui la diretta online, scegli la sfida e sviluppa la tua idea!  🔗 Link per iscriversi 👇🏻      🏆 In palio uno stage/experience in azienda e 1500€ in buoni Amazon per il team vincitore.","14,603 followers"
"Neste ultimo final de semana tivemos um evento importante para a Blusoft-Acate.  Foi o primeiro Hackathon Tech Recruiter People, voltado para a questão de nossa maior importância, as pessoas.     Todas as empresas tem o desafio de atração, recrutamento, capacitação e retenção de talentos e esta foi uma grande oportunidade que tivemos (e aproveitamos bem!) para criar soluções inovadoras para nossas empresas, com direito a mais de R$ 15.000,00 em prêmios.     Faço aqui um agradecimento aos nossos fornecedores, pela contribuição para rápida estruturação do evento.     Aos nossos patrocinadores, que prontamente acreditaram na ideia e investiram na realização.     Aos nossos voluntários que dedicaram seu precioso tempo para ajudar os participantes a terem a melhor experiência possível.     Aos nossos apoiadores institucionais que ajudam a tornar nosso ecossistema ainda mais forte.     , , , , Blumenau, , , , , FixIT, , , , , , , , e Prefeitura de Blumenau, muito obrigado pela participação, colaboração e confiança de todos vocês.     Agradeço também a , e a por acreditarem deste o início e por todo apoio para que este evento se tornasse realidade.     Fazer um evento desse nível é sempre um enorme desafio, então quero aqui agradecer a nosso TIME da -Acate pelo excelente trabalho e pelo belo evento.    Parabéns aos ganhadores!!",CEO - Megasul Sistemas
"OPPORTUNITÀ PER GLI STUDENTI    HACK YOUR TALENT 2022  Come dovrebbe essere il mondo del lavoro? Come vorresti che fosse? In HYT potrai progettare il mondo del lavoro perfetto per te, più inclusivo e orientato al futuro.    “Hack Your Talent”, l’hackathon organizzato da Adecco in collaborazione con Treccani Futura, prevede la realizzazione di 1 hackathon digital rivolto a studentesse e studenti universitari delle Università partner. I partecipanti, divisi in gruppi a seconda dell'Ateneo di appartenenza, avranno il compito di immaginare e raccontare la loro visione su come il metaverso modificherà la nostra vita e il nostro lavoro.     L’Hackathon è un evento gratuito riservato agli iscritti a un corso di Laurea triennale o Magistrale, ma anche agli studenti neolaureati degli stessi Atenei. Il team che si aggiudicherà la vittoria avrà accesso a una visita aziendale presso una delle aziende partner del progetto, ai canali preferenziali occupazionali di Adecco tramite screening dei CV, Complete Assessment Experience presso l’hub PHYD e/o sulla piattaforma digitale PHYD. Il termine per partecipare è il 25 ottobre.    Per saperne di più:",383 followers
"Maps Group | Sharing Knowledge e l'#hackathon in sanità    ""AL MIGLIOR PROGETTO DI INNOVAZIONE PER MIGLIORARE LA QUALITA' DI VITA DEI PAZIENTI CON MALATTIE RARE""    Può sembrare un gioco l'hackathon, ma non lo è.  Specialmente se il tema è quello delle malattie rare.  E così, con serietà, concretezza e professionalità abbiamo affrontato un argomento complesso e delicato.  Abbiamo cercato e intervistato chi, in prima persona, vive questa difficoltà, con l'obiettivo di capire e toccare con mano quale sia la quotidianità della vita e cosa davvero potesse essere fatto per innovare e aiutare.    Il team, composto dai colleghi , ha ideato una piattaforma tecnologica dedicata al caregiver. Il progetto si chiama e la finalità è quella di formare al meglio il caregiver per fargli conoscere i vari aspetti della malattia rara in questione e renderlo quindi autonomo - in modo particolare - nei momenti di emergenza.  Una serie di test validano e certificano il livello di preparazione che, via via nel tempo, il caregiver è in grado di assumere.  Inoltre, una community è a disposizione dei caregiver per chi ha bisogno di aiuto e di supporto psicologico.    Come vedete dalla foto, sprizziamo felicità da tutti i pori!!!  Un GRAZIE ENORME va ad che, pur non essendo presente alla premiazione, è stata l'anima del team!  Un altro SUPER GRAZIE alla bravissima , portavoce del gruppo e protagonista dello speech!  GRAZIE GRAZIE GRAZIE a , Marcin Pabich e che hanno lavorato tantissimo per produrre slide, video e documentazione varia.    Grazie, infine, a e al suo , a , a .","Cofondatrice I-Tel | Top50InspiringWomenTech | PASocial, TavoloSanitàLazio | InclusioneDonna | 100DonneperTutte | LunchIN | ClubTI RomaMilano | Assintel | DonneProtagonisteInSanità | ASSD | Soroptimist | Confindustria |"
"TG4Mori Commercio  Talent Up: aspiranti imprenditori alla Silicom Valley  ***15 ragazzi volano in California per seconda fase del progetto***  Quattro settimane nella Silicon Valley.  I 15 ragazzi di Talent UP che hanno superato la fase di formazione che si è svolta nei mesi scorsi in Sardegna, sono volati negli Stati Uniti e hanno cominciato in questi giorni la loro avventura americana.  Li attende una full immersion nel più importante ecosistema di start up tra lezioni, incontri e eventi. Un passo importante nella strada che li porterà a realizzare e rendere concreta la loro idea imprenditoriale.  Saranno giorni intensi di attività formative e d'aula, workshop e visite a imprese leggendarie come Google, Swissnex, Block 71 per far connettere i partecipanti con l'ecosistema imprenditoriale e produttivo in modo che possano cogliere gli aspetti più innovativi. Previste altre attività come la partecipazione a eventi di networking, hackathons, pitch challenges, simulazioni e business games finalizzate allo scambio con la communitiy locale e internazionale e al consolidamento delle competenze acquisite nel corso della formazione. Seguirà poi un altra tappa di 8 settimane a Boston in cui i 15 selezionati freequenteranno alcune business school.  ""Talent Up è avanguardia - afferma Maika Aversano, direttrice generale dell'Aspal - è un progetto di altissimo respiro che consente ai nostri giovani di toccare con mano le esperienze della Silicon Valley, di avere un contatto diretto con grandissimi imprenditori, di frequentare importanti business school e tornare in Sardegna ricchi di conoscenze, competenze e energie per realizzare le loro idee"".(fonte Ansa)",General Manager presso Sardegna Rossoblu
"🔥 𝗟𝗔𝗡𝗖𝗜𝗔 𝗟𝗔 𝗧𝗨𝗔 𝗖𝗔𝗥𝗥𝗜𝗘𝗥𝗔 𝗡𝗘𝗟 𝗡𝗘𝗪 𝗦𝗣𝗔𝗖𝗘 | 𝗣𝗔𝗥𝗧𝗘𝗖𝗜𝗣𝗔 𝗔𝗟 𝟰° 𝗖𝗔𝗦𝗦𝗜𝗡𝗜 𝗛𝗔𝗖𝗞𝗔𝗧𝗛𝗢𝗡 𝗔 𝗧𝗢𝗥𝗜𝗡𝗢 🔥    💡 Volete rendere la e il mondo più sostenibile? Allora partecipate al 4° CASSINI Hackathon e portate le vostre competenze a dal 4 al 6 novembre! Abbiamo numerosi da assegnare ai vincitori! L'hackathon è aperto a chiunque sia entusiasta dell'imprenditorialità, della , delle e delle tecnologie spaziali dell'.     🎯 🤝 La organizzerà per l’Italia il 4° CASSINI Hackathon: Space for the Financial World, nella città di presso la sede di nel weekend del 4 - 6 novembre 2022, insieme a numerosi importanti stakeholder appartenenti all’ecosistema dell’innovazione Piemontese.    🔥 Cosa aspetti registrati subito 👉                  ",986 followers
"Cosa c’è di meglio per concludere un percorso di Master sulla digital HR?    Un #hackathon ritmato per mettere in pratica tutto quello quello che è stato imparato lungo il percorso, immersi nell’employee Journey di e nelle loro nuove prossime sfide.    Due giorni intensi di entusiasmo improntati sul learning by doing. Ottimo momento di chiusura del percorso del Master, dove noi di Kopernicana siamo stati a bordo dall’inizio delle lezioni, fino alla giuria finale con tanto di premiazione per il team vincitore.    | | | | | | |","2,539 followers"
"The real test of learning is the assurance of skills and the real test of skills is demonstrated in a live audience with industry hiring managers!    We want to invite you to join the Skillathon (skill hackathon)  At the Institute of Product Leadership, we replaced examinations with Skillathons and studying with ""learning by doing"".    Our jury members are- , VP of Products at , , Director - Product Line Manager at , and , Director-Product Management at .    Our International Certificate In Product Management cohort will present their innovative solutions and you get to not just witness it live but vote and choose the winner!    Register Now-            ","38,652 followers"
"What is a Hackathon?    Hackathon is a combination of two words: Hack + Marathon.     Hackathons are high-energy, exploratory programming events where people come together to solve problems through technology.    The Problem:    Only 26.5% of ex-prisoners enter employment after being released from prison. How can we enable better career outcomes?    Hacking for a Solution:     is still accepting sponsors for our upcoming Hackathon this October to help address this employment gap.    The best part? Over 48 hours, participants - including amazing females in tech - will break out into teams and compete to create the winning app!    Giving back usually produces a positive halo effect that goes beyond initial investment. If you're interested in learning more about how to sponsor OR if you'd like to help secure sponsorship, please DM me.    Please share! More info on how to register, soon.    Special thanks to  for hosting this event.    Our gratitude goes out to 's current sponsors, including,        and !    Thank you for your support <3                      ",Talent Advisor | B2B Headhunter | Girls in Tech NY (Board Member)
"Arriba la 4a hackató #CassiniEU el 4-6 novembre!    ➡️ Només hi ha 10 seus europees i Barcelona (Castelldefels School of Telecommunications and Aerospace Engineering (EETAC-UPC)) n'és una d'elles. Fem que la indústria fintech d'Europa voli cap a l'espai 🚀    Organitzadors: , i .    👉Apunta-t'hi: /redir/general-malware-page?url=https%3A%2F%2Fja%2ecat%2FCassiniEU","13,907 followers"
"👉Hackathon su economia circolare    La vera sfida della sostenibilità è  l’economia circolare:  📍il caso (complesso) dei rifiuti urbani  Gli studenti del dell’ impegnati nel primo dedicato, una di idee per sviluppare soluzioni concrete e rispondere alle esigenze dei protagonisti principali, ovvero chi produce i rifiuti e chi è chiamato a riciclarli e riutilizzarli.    📺 ( mio intervento dal 35')",Digital & HR Transformation | Data Scientist | Project Management | Sustainability & Circular Economy | Tour Leader | AIDP member | PM-Prince2®| ITIL®
"Se da un lato è sempre più difficile trovare personale con competenze in ambito informatico e tecnologico, dall'altro la maggior parte delle persone e delle organizzazioni, non è a conoscenza dell’esistenza di percorsi formativi informali come boot camp, programmi accademici e hackathon.",CRM Director & Business Development
"🟡 Smart&Hack Milano 2022 • Il panel delle aziende partner    Abbiamo dato il via alla 4° edizione di Smart&Hack: il network dei talenti, presentando il progetto alle aziende del .  🎙 Con noi Michela Palestra, Vicesindaca della , che ci teniamo a ringraziare per il suo prezioso intervento. “Siamo onorati di dare il patrocinio a un evento che mette al centro il talento e i giovani. Siamo determinati a dargli spazio. Da parte loro ci vuole l’idea, la capacità di raccontarla e la determinazione di perseguire i propri obiettivi. Componenti fondamentali che emergeranno in questa competizione.” - alcuni estratti delle sue parole.     Rilevanti realtà sono salite a bordo del progetto: , , Vodafone Automotive,  e  sono pronte a interfacciarsi con i  per una crescita reciproca. Sostenibilità,  e valorizzazione del  i fattori comuni, nonché i protagonisti di questo ! 💥    Vuoi conoscere le challenge? Collegati il 5 ottobre al Bootcamp. Link per iscriversi 👉 .     👉 Scorri e scopri di più sulle aziende!      Con il patrocinio di e      ","53,083 followers"
"GAIA: “GEODATA ANALYSIS AND ACQUISITION”  Science Hackathon per studenti delle scuole superiori su ambiente e cambiamenti climatici  Palmanova, Polveriera Garzoni, 3-4-5 ottobre 2022    Quarantacinque studenti dell’ISIS Bassa Friulana, tra i 17-19 anni, suddivisi in 7 team, si sono sfidati in uno Science Hackathon su ambiente e cambiamenti climatici: un laboratorio di approfondimento nel quale i ragazzi, a partire da dati scientifici e studi avanzati, hanno immaginato scenari di futuro possibile e formulato ipotesi progettuali di mitigazione per la nostra regione e, in particolare, la Bassa Friulana da qui al 2040.    I Team, composti da gruppi misti di vari indirizzi di studio, supportati dal team di GLOBE Italia e dall’Associazione Wayouth che ha proposto loro un approccio di apprendimento innovativo, sono stati coinvolti facendo squadra ed esprimendo la loro volontà di rendersi protagonisti dei cambiamenti richiesti dalla transizione ecologica.    La giuria, composta da Maria Elisabetta Giannuzzi Dirigente dell’IISS Bassa Friulana, Simonetta Comand Assessore all’Istruzione Comune di Palmanova, Marco Contin di UNIUD DISA – scienziato GLOBE, Giorgio Visintin già referente rapporti protezione civile – scuole, Luisa Contin docente ha premiato il Team formato da Boumezaout Maram e Furlanut Maria della classe 3LSAA, Rigon Giovanni della 3TELB, Baronchelli Giovanni della 4CHIA, Venier Francesco della 4MECA, Pines Patrick della 5MATA, Follo Zoe della 5CHIA.  Il Team ha presentato lo scenario: I FENOMENI ATMOSFERICI INFLUENZERANNO L’AGRICOLTURA DEL FVG?  e si è aggiudicato il premio in palio, consistente nella possibilità di entrare nella squadra organizzatrice di una “spedizione scientifica” aperta al pubblico che sarà organizzata dall’Associazione GLOBE Italia a Gorizia nel 2023.    Un ringraziamento va al Comune di Palmanova che ha patrocinato l’iniziativa, agli esperti di OSMER-ARPA e Protezione civile che durante l’Hackathon hanno reso possibile una interessantissima lezione con visita guidata presso le strutture della sede di Palmanova, e agli Alpini di Palmanova che nella Caserma Piave hanno ospitato il gruppo per i pranzi.    L’attività è una delle azioni di WITS ? progetto di divulgazione scientifica sostenuto dalla Regione FVG, capofila l’Associazione Globe Italia APS, e rappresenta uno dei primi esperimenti laboratoriali di future thinking per GLOBE rivolti ai ragazzi delle scuole superiori e sarà presentato nella Conferenza internazionale di Omis.",docente presso ISIS Bassa Friulana Cervignano - Coordinatore Nazionale GLOBE Italia
"Si è concluso con successo l'hackathon lanciato da SEI Ventures e SEI Sannio. L'evento dedicato alla collaborazione intensiva per uno scopo comune: il rilancio delle aree interne italiane. Due giorni di formazione, confronto, elaborazione, condivisione di conoscenze, esperienze e buone pratiche, con lo scopo di favorire l’acquisizione di competenze chiave e di sperimentare nuovi strumenti didattici che permettano ai giovani di lavorare insieme alle Istituzioni e alle Università sui problemi di sviluppo del territorio, far crescere la capacità di problem solving e diffondere la cultura dell’innovazione.   ","1,879 followers"
"🎙️ Quali sono i vantaggi di far parte dell’OVHcloud #StartupProgram?  💡 Ne parliamo insieme ad Andrea Genito, Project Manager di #Gisky srl, la #startup vincitrice dell’#Hackathon organizzato in collaborazione con e .  ▶️ Scopri lo di OVHcloud! 👉","127,703 followers"
"1° lugar no HACKATHON -Blusoft    Esse final de semana ocorreu o Hackathon - Tech Recruiter People realizado pela . Evento voltado para o desenvolvimento de soluções para os setores de recrutamento.    A partir da nossa solução proposta, que busca tornar tangível em indicadores o engajamento dos colaboradoras de uma empresa, o grupo composto por e eu, teve a honra de ser classificada em 1° lugar dentre as soluções propostas pelas 24 equipes participantes, recebendo o prêmio de R$10k para a equipe!    Só tenho a agradecer por todo o evento, pela minha equipe incrível que se dedicou 100% nessa ambiente de extrema incerteza e de muito trabalho, lapidando ao máximo a solução final proposta.    Obrigado patrocinadores e organizadores desse evento que com certeza fomenta de forma extraordinária a inovação em nosso Vale do Itajaí!!            Feliz demais!!!! Que venham os próximos!!!",Movido pela Inovação | Entusista da Web 3.0 | fala sobre Startups | Infinity
"📢𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚 𝗡𝗘𝗪𝗦: Manca quasi un mese al 4° CASSINI Hackathon!    📌La competizione è stata lanciata dalla European Commission per stimolare l’uso delle tecnologie e si svolgerà in contemporanea in 10 differenti località . La organizzerà per l’ il 4° CASSINI Hackathon: Space for the Financial World, nella città di presso la sede di nel weekend del 4 - 6 novembre 2022, insieme a numerosi importanti appartenenti all’ecosistema dell’innovazione .    🚀All’iniziativa possono partecipare studenti, giovani talenti e professionisti, programmatori, imprenditori, ricercatori e tutti coloro vogliono misurarsi con le sfide dell’innovazione spaziale e contribuire a tracciare la strada verso un futuro migliore. Più in particolare, i partecipanti dovranno riunirsi in team e ideare soluzioni innovative in grado di rispondere alle sfide del settore della finanza, delle assicurazioni e degli investimenti attraverso l’utilizzo di dati di navigazione satellitare e di Osservazione della Terra .    🗓️ 4-6 Novembre 2022 | 📍 Torino, | Registrati ora 👉                                                ","2,413 followers"
"Fare formazione nelle scuole è sempre una grande soddisfazione!    Giovedì e venerdì scorso, in occasione del Creativity Hackathon 2022 di , ho avuto l’opportunità di fare lezione agli studenti del Liceo Artistico di Treviso.  Fin dall’inizio, i ragazzi si sono dimostrati curiosi e interessati, si sono impegnati nelle varie attività e hanno sviluppato tutti delle ottime idee.    Ringrazio che, tramite la sua , organizza questi Hackathon sempre molto stimolanti. Sono felice di poter far parte di questo progetto come formatore 😊",Social Media Consultant | Communication Strategist @ MARKETERs Academy
"Non sempre umanità e professionalità convergono ... spesso viaggiano su piani paralleli.  Ma quando accade, ovvero quando un Progetto ha forti connotati sia umani che professionali, grazie al valore delle Persone che ne fanno parte, allora diventa un'esperienza emozionante, coinvolgente e indimenticabile!    E così è stato per il nostro Hackathon Designing Circular Future grazie alle Studentesse che hanno ""invaso"" la nostra azienda con la loro energia, creatività e competenza ma anche con i loro sorrisi e i loro sguardi intensi, curiosi, riflessivi, specchio di menti brillanti e di talento.    E così è stato anche grazie ai Mentor, ai Manager di e , ai membri esterni della Giuria, agli organizzatori.    Uno straordinario lavoro di squadra a cui pensiamo di dare seguito!",Entrepreneur and CEO @GHEPI with passion for Innovation and Wellbeing.
"Euregio Plus SGR S.p.A. / AG., in collaborazione con la Libera Università di Bolzano e l'Università di Trento lanciano Euregio+ Hackathon 2022: ""L'OTTIMIZZAZIONE DI PORTAFOGLIO CON VINCOLO ESG”.  Si tratta di una sfida tra  di  dei corsi di laurea magistrale in  dei due atenei, con focus specifico sui temi della finanza .  Possono altresì partecipare coloro che hanno conseguito la laurea magistrale da non più di tre anni in una delle due Università.  Sono previsti  in denaro per i vincitori e l’opportunità di frequentare un tirocinio formativo presso Euregio Plus SGR S.p.A.    Le iscrizioni sono aperte dal 04.03.2022 al 21.03.2022    Accetti la sfida?    Visita il sito di Euregio Plus SGR S.p.A. ed iscriviti          ",624 followers
"Questa settimana prenderanno avvio gli Hackathon regionali conclusivi del progetto #HubSTEAM che abbiamo realizzato insieme all'ISI Pertini di Lucca, capofila della rete di sei scuole del Movimento delle Avanguardie Educative nonché poli regionali per la formazione dei docenti nell’ambito del Piano Nazionale Scuola Digitale (PNSD).    Insieme, abbiamo deciso di creare dei momenti corali in cui i partecipanti al programma delle diverse città potessero incontrarsi, costruendo occasioni divertenti ma anche di scambio e di sfida in cui portare alla luce nuove idee per la risoluzione di alcuni dei temi più caldi della contemporaneità.    In quanto partecipanti attivi della nostra società e futuri lavoratori, gli studenti saranno chiamati a ragionare su che cos’è lo sviluppo resiliente, su come migliorare i trasporti e l’accessibilità tramite le tecnologie, su come creare comunità urbane smart, su come favorire la transizione ecologica e su come tutelare il territorio e il suo patrimonio storico-artistico.    Durante le 6 giornate, 60 team di ragazzi provenienti da 60 scuole a livello nazionale, per un totale di 600 ragazzi, si riuniranno in una delle 6 scuole polo per sfidarsi a colpi di idee, per testare le competenze STEAM acquisite nei percorsi svolti lo scorso anno scolastico, convincere una giuria scelta ad incoronarli come migliori HubSteamers e vincere l'invito all'Hackathon nazionale del 15 dicembre a Lucca.    Scaldate i motori, ne vedremo delle belle!",364 followers
"Coming together is a beginning; keeping together is progress; working together is success.    Greetings connections!  I'm extremely delighted to share that our team - SwasthyaVardhak won the in the grand finale held at for working on the Problem Statement given by which aims to digitize doctors' handwriting for easy access to everyone.    We created a mobile application which has a scanner that captures the image of a prescription and converts it into readable format using an ML model in the back-end.    Our team's journey was quite a rollercoaster ride with us being waitlisted in the despite all the hardwork, and loosing hope to be a part of the Finale, then overjoyed when got selected for nationals, working during the pre and the end semester examinations, hunting datasets and coming up with an approach that ditched us in the end, even after that we worked harder and implemented a solution that was up for evaluation, then came the most tragic thing- crashed during the demonstration in the final evaluation. Working hard for sleepless 36+ hours, we did it and the long haul made us win the battle.    Sharing my heartfelt gratitude to my team, winning would have been impossible without all six of us, I couldn't imagine a better team working this hard for SIH.    you were always the overall workforce whether it be the selection of team members, brainstorming over ideas for the problem statements, app designing, and working as well as integrating the model solution.    the most cheerful member, but the most calm and composed person while working, and implementing every possible feature in the application on one single thought is something we couldn't have won without.    working hard and valuing every single work we did, always boosting our morale and making us not loose hope, specially in my case, you were the one who believed our hardwork will surely make us emerge with flying colours.    the epic team player, the true example of working hard in silence and let our success be the noise!, the ""sankat mochan"" of our team as Manish calls you.    here we go, the zero minute inactive member of our team, the caffeine and hardwork addict who worked on every theoretical aspect to be well implemented in our solution.      I'd like to extend a special thanks to our evaluators and mentors , and for the suggestions in our solution. We were overwhelmed by your aura and the knowledge you provided us, most importantly, confiding us that we'll come up with a solution in near future with our continuous efforts.  I'd also like to thank our team mentor Dr. Pratima Singh ma'am and sir for the constant guidance, support and helping us throughout the process. This will remain my most honourable experience.",Google DSC Lead'22 | SIH'22 Winner | CSE(AI&ML) '24
"#Scuola | Vuoi sperimentare come la scuola possa contribuire a costruire una società più sostenibile?    All’evento School Hackathon organizzato dalla e SocialFare avrai la possibilità di farlo!   Studenti, docenti e presidi delle scuole della provincia di Cuneo saranno i protagonisti: attraverso un Fast-Hackathon proveranno a co-progettare insieme, lavorando su sfide contemporanee del mondo .    Un'occasione per sperimentare strumenti e metodologie che saranno tratto distintivo del programma PCTO di ! IMPACT Scuole 2022/23. Un percorso formativo dedicato ai ragazzi per avvicinarli al mondo del lavoro, ma in modo che vuole differenziarsi: l'obiettivo è fornire ai giovani studenti gli strumenti per sviluppare capacità legate all'imprenditoria e all'innovazione sociale e divenire attori di cambiamento sociale positivo.    Ti aspettiamo martedì 27 settembre @ Spazio Incontri della Fondazione CRC a Cuneo. Prenota il tuo posto 👇🏼","4,362 followers"
"💡 “Con questo nuovo hackathon puntiamo a stimolare l’ecosistema dell’innovazione, mettendo alla prova la creatività degli sviluppatori e le capacità della nostra tecnologia per esplorare soluzioni sempre più all’avanguardia ed efficaci per affrontare le sfide poste dell’analisi del linguaggio.”    📢 Il commento del nostro CMO in occasione dell'avvio dell' ""Turn Language into Action… for Good”, volto a favorire lo sviluppo di nuove app utili per il bene comune tramite l'impiego di e .    Vuoi partecipare a questa sfida? Iscriviti ora!","18,504 followers"
