,Post
75,"My team, 𝗩𝗼𝗶𝗰𝗲𝗵𝗮𝗰𝗸𝗲𝗿𝘀, won the 𝗠𝗼𝘀𝘁 𝗟𝗶𝗳𝗲-𝗖𝗵𝗮𝗻𝗴𝗶𝗻𝗴 𝗔𝘄𝗮𝗿𝗱 in 𝗛𝗮𝗰𝗸𝗮𝘁𝗵𝗼𝗻 𝗳𝗼𝗿 𝗮 𝗕𝗲𝘁𝘁𝗲𝗿 𝗪𝗼𝗿𝗹𝗱, a community hackathon co-organised by DBS Bank, the Singapore Judiciary (Supreme Court of Singapore), and Ministry of Communications and Information.

We proposed the implementation of 𝗖𝘆𝗯𝗲𝗿𝗧𝗼𝗴𝗲𝘁𝗵𝗲𝗿 𝗛𝘂𝗯 (合力打击网络欺凌中心), which fortifies legal and non-legal support to the victims through public-private partnerships and spearheads the whole-of-nation fight against cyberbullying through a one-stop platform.

𝐎𝐮𝐫 𝐐𝐮𝐨𝐭𝐞:
""𝐴𝑠 𝑑𝑖𝑔𝑖𝑡𝑖𝑠𝑎𝑡𝑖𝑜𝑛 𝑝𝑟𝑜𝑙𝑖𝑓𝑒𝑟𝑎𝑡𝑒𝑠, 𝑖𝑡 ℎ𝑎𝑠 𝑎𝑙𝑠𝑜 𝑒𝑥𝑎𝑐𝑒𝑟𝑏𝑎𝑡𝑒𝑑 𝑐𝑦𝑏𝑒𝑟𝑏𝑢𝑙𝑙𝑦𝑖𝑛𝑔 𝑖𝑛 𝑆𝑖𝑛𝑔𝑎𝑝𝑜𝑟𝑒. 𝑂𝑢𝑟 𝑡𝑒𝑎𝑚 𝑎𝑑𝑣𝑜𝑐𝑎𝑡𝑒𝑠 𝑒𝑞𝑢𝑎𝑙 𝑟𝑖𝑔ℎ𝑡𝑠 𝑓𝑜𝑟 𝑎𝑙𝑙 𝑡𝑜 𝑛𝑎𝑣𝑖𝑔𝑎𝑡𝑒 𝑑𝑖𝑔𝑖𝑡𝑎𝑙 𝑠𝑝𝑎𝑐𝑒𝑠 𝑓𝑟𝑒𝑒𝑙𝑦 𝑎𝑛𝑑 𝑠𝑎𝑓𝑒𝑙𝑦. 𝑊𝑒 𝑤𝑒𝑟𝑒 𝑡ℎ𝑢𝑠 𝑚𝑜𝑡𝑖𝑣𝑎𝑡𝑒𝑑 𝑡𝑜 𝑠𝑢𝑔𝑔𝑒𝑠𝑡 𝑎 𝑠𝑜𝑙𝑢𝑡𝑖𝑜𝑛 𝑡ℎ𝑎𝑡 𝑙𝑒𝑣𝑒𝑟𝑎𝑔𝑒𝑠 𝑝𝑢𝑏𝑙𝑖𝑐-𝑝𝑟𝑖𝑣𝑎𝑡𝑒 𝑝𝑎𝑟𝑡𝑛𝑒𝑟𝑠ℎ𝑖𝑝𝑠 𝑎𝑛𝑑 𝑒𝑚𝑝𝑜𝑤𝑒𝑟𝑠 𝑒𝑣𝑒𝑟𝑦𝑜𝑛𝑒, 𝑖𝑛 𝑝𝑎𝑟𝑡𝑖𝑐𝑢𝑙𝑎𝑟 𝑤𝑜𝑚𝑒𝑛 𝑎𝑛𝑑 𝑔𝑖𝑟𝑙𝑠, 𝑤𝑖𝑡ℎ 𝑑𝑖𝑔𝑖𝑡𝑎𝑙 𝑐𝑖𝑡𝑖𝑧𝑒𝑛𝑠ℎ𝑖𝑝.""

Click the links below to find out more about:

1. Introduction to Hackathon for a Better World and Quotes from the Winning Teams:
https://lnkd.in/g9RJSYPR

2. Opening Remarks by Minister of State for Communications and Information Tan Kiat How at the DBS-Judiciary-MCI Hackathon 2021 Awards Day on 28 Oct 2021: https://lnkd.in/gGjUYKzw

3. Closing Remarks by Ms Rahayu Mahzam, Parliamentary Secretary, Ministry of Communications and Information, at the DBS Judiciary MCI Hackathon for a Better World 2021 Judging Day on 7 October 2021:
https://lnkd.in/gTtii4xR

4. Opening Remarks by Ms Sim Ann 沈颖, Senior Minister of State at the DBS-Judiciary-MCI Hackathon for a Better World 2021 Judging Day:
https://lnkd.in/gcYXRQ4i

#SingaporeTogether #HackathonForABetterWorld
#cyberbullying #women #girls #legalsupport"
76,"Spent yesterday afternoon with Cyber Youth Singapore at the final day of YouthxHack 2022! The 5-day hackathon saw our youths and industry partners joining heads to come up with new solutions for cybersecurity. 💻🔒 Always inspiring to see the CYS team’s infectious passion for technology passed on to the younger crowd. 

Congrats to all participants for finishing the hackathon strong! I especially enjoyed hearing your ideas on cryptocurrency security and malware protection. Can’t wait to see more great things from you in the future! 🚀

Thank you also to our industry partners for generously supporting our young trailblazers in tech 💥

Chong Hong Yau Ben Chua 🇸🇬 Aaron Ang Koh Leng Siang Aloysus Jeron Tan Kang Kaelynn Yap Mae Yee Yeo Joseph L.

ST Engineering Exabytes Singapore Mandiant

Ministry of Culture, Community and Youth (MCCY) National Youth Council Singapore"
77,"Ending off another busy & eventful week with a piece of good news that I'm accepted in UNLEASH Hacks Singapore 2022!!!

UNLEASH Hacks are localized hackathons designed to address sustainability challenges in specific contexts around the world through a collaborative 2-day event, organized by UNLEASH hacks Alumni, passionate talents will work with local stakeholders and community leaders to collectively solve problems and contribute to the Sustainable Development Goals (SDGs) which are goals that I resonate strongly with especially SDGs 3 - Good Health & Wellbeing (including mental well being ) & SDGs 13 Climate action - with special mention of SDGs 7 - Affordable & Clean Energy * with special love for solar energy 😍 * & SDGs 4 - Quality Education


Looking forward to learn more and collaborate with others to create a world with equal accessibility to education, health & many more.

#sustainability #education #equality United Nations #health #love #community #wellbeing #solarenergy #solarenergy #sustainabledevelopment #cleanenergy #quality #education #mentalhealth"
78,"The Ministry of Home Affairs Singapore launched its Innovation Month last week – a series of learning journeys, innovation workshops, hackathons and challenges to imagine and create #HTFuture. It was a privilege to hear presentations from Dr Soon Joo Gog and Bryant Kok at the launch event, and to interact with them during the panel discussion which followed, together with my Senior Director Hooi Boon Phua.
 
Bryant shared how it was important for Gardens by the Bay to create mindshare through its digital products, especially during #covid19, so that it remains a top destination for #Singapore – something never to be taken for granted. Dr Gog shared insights from SkillsFuture SG’s Skills Demand for the Future Economy report, and helpfully contextualised the priority skills that are relevant to support the Home Team’s transformation journey.
 
It was a timely reminder of how organisations that are already at the top of the game have to keep innovating, and to keep learning from others. One message from Dr Gog’s impassioned advocacy that resonated with me – don’t outsource your personal learning to your organisation or your bosses, because transformative assets of skills and experience are your own!
 
Thanks to Shang Yi Chia for the jio – this was fun to do!"
79,"Thanks to the amazing Girls in Tech Singapore team Ashwini Lynette Pranati Elizabete and the awesome team from Microsoft Sindhura Carine Poonam Dr. Wai, the first #codewithoutbarriers meetup in Singapore was truly inspiring. Lovely hearing Ratri Maria share her hackathon experiences.
Thanks Ming Xia H. and Vikram Bharati for hosting us early on a Saturday morning=)
Here’s to many more!"
80,"As citizens, our goal should be to leave the planet in a better way than how we found it. Real estate accounts for 40% of global carbon emissions, which means there’s a lot of opportunity for the built environment to do good.
 
JLL APAC recently held the inaugural #JLLFutureCityZens hackathon, where 21 teams of students from the National University of Singapore worked with mentors from the industry to come up with solutions to today’s #sustainability challenges.
Can't wait to see what the next generation of leaders and thinkers dream up to shape the way we live in the future.
 
Find out more about how JLL is shaping the future of #sustainablecities: https://lnkd.in/gtxjdR9x
Audrey Lim Elspeth Ng Christophe Al-Taie, Vernia Lim JLL#sustainabilitymatters #esg #transformation #marketing #marketingforgood"
81,"From August to October, Gabrielle Allison Maswi, Kah Lok Lim, Kai Wei Sze and I joined the Accounting Innovation Challenge 2021, where we undertook the problem statement pertaining to sustainability and came up with a collaborative, centralised dashboard for efficient sustainability reporting.

Out of the 62 teams that participated, I am proud to say that Team ESGimos has managed to clinch the First Prize! We are extremely grateful to the Singapore Accountancy Commission and CPA Australia for organising this regional accounting hackathon, and our faculty, SMU School of Accountancy for the constant support.

We would also like to dedicate this accomplishment to our school, Singapore Management University and extend our gratitude to our mentor, Cynthia Yap, as well as Benjamin Loh, Wu Sining and Ina Dimova for the constructive feedback throughout this fruitful journey."
82,Another great hackathon Seagate Technology Lyve Labs and powered by Agorize launched in Singapore.
83,"My team and I are delighted to share that we cinched both the Category Prize and Grand Prize at the Singapore Psychological Society & Singapore Psychological Society Youth Wing's first Psychology Hackathon.

The question posed to us was ""How can we apply psychology to improve the lives of Singaporeans in a post-COVID world?”. My team chose to tackle this problem in the field of Educational Psychology. As university students, this topic is close to our hearts. COVID-19 has demanded big changes to education, and we wanted to find a way to wrestle back control from the pandemic's jaws and shape the future education.

I would like to thank our mentor Ms Faridah Ali Chang for her support and belief in both the team, and the idea we had. She encouraged us to dream big and envision our idea as a real solution to the challenges in Educational Psychology today. We truly couldn't have done this without her support!

Thank you to my friends and team members - Dylan Ong, Joan Ng, Wong Joon Mien and Chloe Lee. Each one of us brought a unique ingredient to the table and through our shared resolve, we made it here. I wouldn't be here without any of you! Lastly, thank you to the organising committee for the work put into this event!"
84,"Honoured to meet Prime Minister Narendra Modi earlier today with Minister Gan Kim Yong. We had excellent discussions on new areas of cooperation such as green hydrogen, solar energy, fintech, as well as data links.

India is an important strategic partner of Singapore across many sectors. I am glad that the pace of bilateral engagements has picked up substantially as the pandemic subsides. I also look forward to restarting the Singapore-India Hackathon, which was disrupted by Covid-19, to build bridges between our young talents.

Thank you Prime Minister Modi for your warm hospitality!

(📸: Prime Minister’s Office of India)"
85,"After an intensive and fulfilling 6-mths, I’ve finally graduated from the Digital Transformation & Change Management course (with Distinction) under the RISE programme by DigitalBCG Academy.

Digital transformation is not just about technology and there remains a misconception that it is just about digitisation. It entails more than that…much much more. It involves the integration of digital technology into all areas of a business, changing the way you operate, changing the way you work with partners, and changing the way value is delivered to customers. It's also entails a mindset and cultural change within the organization.

A big shout out to RISE by DigitalBCG Academy and the wonderful trainers/advisors (Sagar Goel, Mukund Rajagopalan, Rithesh Shetty, Sudheer Marisetti, Ying PANG, Cédric DUFOUR - IT Strategy, Sandeep Shouche, Miranda Adams and many more) for putting together this wonderful programme to equip us with the right digital, data and agile skills needed to stay relevant in the evolving digital landscape that we live in. Special thanks too to our TA, Mariko Kita Osada, for being our Aunt Agony when we faced issues and ensuring our learning journey went smoothly.

To the Hackathon and Capstone project partner companies, Olam and Singapore Airlines, it was a pleasure working on the projects you had handed to our cohort.

I’ve enjoyed this learning journey tremendously and I’m grateful to my course mates, especially my “G9” kakis - Anglia A., Dawn Windschuttle-Tan, Maricelle Wong, Chin Ping Tan, Sze Lynn Wong, MBA, Gim Leng, HOW for accompanying me on this journey. You are an awesome bunch to work with. I’ve learnt a lot from you all and I truly value the friendships that have been forged.

#bcg #bcgrise #RISEwithRISE #DigitalTransformation #ChangeManagement"
86,"Had the pleasure of leading and hosting our very first CPBB Innovation Day Virtual Hackathon event on 24 Aug in conjunction with CPBB Learning week.
 
8 different teams with over 50 participants consisting of programmers, designers, delivery leads, Ops, business SMEs, frontline teams etc from 6 countries came together to participate in the Hackathon to solve critical business problems in quick time. Close to 500 audience came to witness agility in action and support their country teams from India, Singapore, Malaysia, Taiwan, Zambia, Tanzania who participated in the Hackathon. This is how we did it.

Participants registered and formed a team, got to understand the problem/opportunity, understand what the customer needs are and ideated coming up with some brilliant ideas. Gave life to these ideas, coming up with great innovative solutions. During the event, the teams pitched-in their solution to our Judging panel. It was tough call for our Judging panel Bongiwe Gangeni (Tindleni) Alan Chiew Julian Moneta to pick the winners in this close contest. Thank you Judges.

Congratulation to all the Winners. Congrats Saurabh Sodhani representing Team Avatar for winning the Gold award, followed by Sivaramakrishnan Ramakrishnan representing Team Surfers for winning the Silver and Anandapadmanaban Muralidharan representing Team VCA Champs for Bronze. We gave the opportunity to our audience to pick the pick People choice award winner. Congrats to Chanda Liamba representing Team Zambezei from Zambia winning the people choice award.  Well done.

Thank you Narayanan Ramis Prasanna Venkataraman Gopal Prince Sharma Jin Jie Teo Nelson Molla for your participation and for your team's effort. Thank you Shereen Williams for co-hosting the session with me. Thank you Dr Anuradha Bhatia, axess Academy for all your wisdom. Thank you working group & organising committee Kelvin Kuan Anjuli Gidwani Harsha Saxena Alison Li Mivio Wong Siqi Jia Gao Min Mell Suranjana Ghosh Fathima Sait Radhakrishnan Boopalam

Last but not the least, Thank you, audience, for your positive feedback. We are happy, you loved it.

“Good to learn different problems from key markets and to hear different innovative solutions proposals. Despite brief but the key messages and ideas were carried out nicely, with good questions from the judges which are remindful. Thank you.”
“Great session. It is good to see teams coming with solution in such short time and the other viewers, listeners getting a good learning experience.”
#experience #people #thankyou # #technology #hackathon #hackers #hustlers #learning"
87,"Last month, our team from NUS Computing and NUS Business School competed in Singapore University of Technology and Design (SUTD)'s What The Hack Hackathon, with a focus on using technology to save the environment.

Proud to announce that our team, Team WhaleFood, managed to clinch the Best Design Hack prize! It is an honour to have been awarded this prize amongst all the talented teams in What The Hack!

Our project was SeeTurtle, an AI-powered robotic turtle designed to filter out micro-plastics in the ocean. You can check out our webpage in the link! It was extremely fun and rewarding putting this project together in 24 hours, and even picking up new skills such as CAD modelling!
https://lnkd.in/ePwpVRC5

I am extremely grateful to my teammates Amos Liew, Jess Raphael Ong, Rayner Loh and Zechary Au. You all have been a pleasure to work with! As a business undergraduate, I have learnt so much about web development from you all!

Last but not least! A big thank you to Singapore University of Technology and Design (SUTD)'s What The Hack 2021 organising committee for planning and executing this hackathon!

#environment #design #ai #technology #NUS #SUTD"
88,"I am extremely grateful and blessed to be represented as one of Ngee Ann Polytechnic’s inspiring students on Singapore’s Malay Newspaper, Berita Harian.

For my non malay readers, here I share more about my journey after Hillgrove Secondary School, where I took Higher Nitec in Accountancy at Institute of Technical Education College West and achieved Director’s List for 2 consecutive years. Afterwards I embarked on an amazing journey at Ngee Ann Polytechnic, graduating with Diploma in Banking and Finance.

I further shared about my experiences in winning First Runner Up alongside my team during the PolyFinTech100 API Hackathon under the InsureTech category by Prudential Assurance Company Singapore, how I went on to being the Head of Community at Singapore FinTech Youth Chapter and lastly my future aspirations in becoming a Women in Tech.

I would like to take this time to also thank all teachers/ lecturers/ friends, that believed in me and knowing that I can grow against all odds.

I would especially like to thank Ms Daphne Tan and Ms Linda Wong for all the help and encouragement throughout my ITE years. To Ms Jenny Hong for showing me my true passion in Programming and my future aspiration to become amongst the Women in Tech, Mr Clement Ng for nominating me for various opportunities such as EMPOWER AI for Girls and SFYC. Last but not least, Ms Tan Ching Ching, Don Baey and Ms Hwee San Lim for seeing my everlasting potential in the FinTech space and beyond.

I hope to inspire others out there having faced similar difficulties, that they too can be a diamond in the rough. 🥹

Here’s the article (although it’s in malay): https://lnkd.in/djNEQZV9

#breakthebias #ITECollegeWest #ngeeannpolytechnic #singaporefintechyouthchapter #womenintech"
89,"Today on 18 October 2021, we officially kick off our UK Singapore Universities Alliance for Entrepreneurship and Innovation (UKSAEI) inaugural event - Climate Change and Sustainability Hackathon. We brought together 80 students from the 17 UK and Singapore universities to pitch their innovative solutions in achieving net-zero emissions by 2050. In addition, the event aims to foster student engagement, specifically the intermingling of cultures and encourage knowledge exchange amongst students from various UK and Singapore universities.  It is a 10 days virtual event when we organised ""Master Classes"" on topics to name a few on ""ideas generation""; ""sustainable lifestyle - reducing carbon footprint""; ""how to deliver a pitch and get an audience excited by your product""; ""an introduction on the social business model""; ""thinking and entrepreneurial journey""; "" hackathon to start-up and pitch deck"". These Masters Classes are delivered by renowned academics from our Alliance universities. We also invited industry experts and entrepreneurs to share their startup experiences and learnings. There are mentors to guide the students too. In these 10 days, the students will learn and work together as a team to come up with solutions and pitch to our 3 distinguished panel judges. British High Commissioner to Singapore H.E Kara Owen, President of British Chamber of Commerce Singapore Richard Warburton and Senior VP of Singapore Management University Hugh Edmiston on 29 October 2021. UK in Singapore British Chamber of Commerce Singapore (BritCham) Coventry University Singapore Management University Elinor Buxton MBE Hanbin Zheng, PhD Nicole Wharfe MBA"
90,"#FutureX Hackathon is going overseas! We are reaching out to undergraduates of Singapore, Vietnam, Indonesia and Thailand who dare challenge themselves and reimagine insurance with blockchain.
Don’t miss exclusive & beginner-friendly workshops by AWS, Income and Plug and Play APAC, perfect for students new to tech, or interested in tech!

👉🏻 Visit our website for an exclusive learning opportunity: https://lnkd.in/eDSfhKdB

https://lnkd.in/ek9GQ2QB

#NTUCIncome #insurtech #hackathon2022"
91,"Hello all! Just giving a shout-out to the Singapore Psychological Society and the Singapore Psychological Society Youth Wing who are planning their first-ever psychology-themed hackathon this June!

The SPS Psychathon 2022 will be a 2-day themed event on the 18th & 25th of June, focused on applying Psychology to address social issues relevant to Singapore. Form a team of 4-5 members and develop your own unique solution to improve the lives of Singaporeans in our post-Covid world!

Sign up today and gain access to 1-on-1 mentoring from experts from 6 different psychology fields, skill-based workshops, career webinars, and networking opportunities with over 20 professionals 🤩. Finally, stand to win prizes and certificates while engaging in teamwork with your peers! 🏆 

Follow Singapore Psychological Society Youth Wing for more information about speakers and the event! Sign up closes on 1st May so please remember to do so before then. Link in the comments section below. 

#psychology #singapore #mentalhealth #linkedin #research"
92,"We recently announced our annual hackathon focusing on Web 3.0 technologies despite the recent huge distraction due to the market turmoil from highly-risky cryptocurrencies.

""We must pierce through the hubris and veil of suspicion to understand the potentially transformative underlying technologies that drive Web 3.0"" - DPM Heng Swee Keat

#finance #web3 #greenfinance Singapore FinTech Festival Monetary Authority of Singapore (MAS) APIX - API Exchange

Details on 57 problem statements related to green finance and applications of Web 3.0, along with registration, can be found in the link:
https://lnkd.in/drECWJR8

Yesterday, we launched the first outreach event with Blockchain Association Singapore (BAS) to reach out to the community in partnership with Oliver Wyman. The hackathon has been a rewarding journey for us and the entrepreneurs; we hope to continue moving forward in this journey.

"
93,"I'm excited to start my new job at DBS Bank Singapore.
I've joined with DBS as a ""Specialist DevOps engineer"".
Thanks Siew Choo Soh for providing great opportunity to women by ""DBS Women In Tech Hackathon"".
Thanks to Celine Liew recruitment team & HR's at DBS for all the support.
Thanks to Krishnam Raju Chapa, Kavitha Katepalli, Imran Khan, Swati Ganjoo,Sunil Kumar Singh, Venkatesh Kamma,Satish Karengula for the guidance and support.

Quotation: "" Failure gives us the opportunity to bounce back, to learn from our mistakes, and gives us success"".

#dbs #dbsbank #women #womenintech #womenintechnology #opportunity #job #devops #recruitment #singapore #digidbs"
94,"I am honoured to be invited as a masterclass speaker at the #UKSAEI Climate Change and Sustainabity Hackathon. Glad to have inspired students from UK and Singapore. Today is the first day of #COP26, held in Glasgow, UK. I wish all participating countries all the best. We should strive towards bold and ambitious climate visions with actionable plans! Let’s make a difference together 💪🏻 #nowornever #2021"
95,"#ticktechgo in Quantum Computing
“Imagination is more important than knowledge”

Last Friday, the Code for Cities 2022 SMU Smart City Society hackathon concluded with dreams, inspiration and a mission to solve.

77 students from four universities bravely took on the challenge. From disaster mgmt by “The Five Muscodeteers” to drivers daily nightmare traffic light optimisation by “The Five Guys”. It wasn’t just a hackathon, it was a journey limited only by your own imagination

Thank you Singapore Management University for having us Chen Hui Ong with Hoong Chuin Lau (刘洪泉） Paul Griffin Shesha Raghunathan Rudy Raymond with Julian Tan Colin Tan and team
Of Centre for Quantum Technologies.

Looking forward to the many Ks of entangled qubits that makes my life 158million times faster!

#IMDigitalArchitect #quantumcomputing #hackathon #emergingtech"
96,"""Do one thing every day that scares you!""

That is how my team and I joined together with a sustainable idea for the Mapletree-SCCC RHBHacks 2022 Sustainability. Where this is our first time participating in a Hackathon. We are proud to say that we represented the Singapore Institute of Technology as finalists.

Our team came up with a Play kit for #kids named ""DreamsKit"" for young children to discover #unconventional local occupations that are in Singapore.

I am proud to share that my team and I are students from SIT Hospitality Business, whom are Leon Oh, Randey Chan, Muhammad Nur Remy B. and Sheila Chua Where we aim to touch on social sustainability in the #children sector. The team came up with a pitch deck together with a prototype and demo video to showcase how children can utilise the whole DreamKit.

We are honoured to share the purpose of this dreamkit to the judges of Mapletree and thank you for giving us this opportunity!

Although we did not get an opportunity to share with everyone how our Kits are in this year's River Hong Bao, but we are still glad we had the chance to explore an #innovation journey!

Also thank you for allowing Leon Oh and me to represent our team- Fiveting, to pitch our #sustainable idea!

Singapore Chinese Chamber of Commerce & Industry
Ministry of Culture, Community and Youth (MCCY) Mapletree

#youth #sustinability #innovation #mapletree #hackathon #entrepreneur"
97,"I would like to thank AI Singapore for giving me this opportunity to participate in their Student Hackathon. Throughout this competition, I was given the chance to learn more about the AI bricks of AI Singapore, TagUI RPA, PeekingDuck and SG-NLP. It has inspired me to be more interested in learning about the AI Bricks to help solve real world problems.

I would also like to take this opportunity to thank Mr Frankie Cha , Mr Rudy Ridwen and Mr Khee Wei Seow who had helped me along the way in this competition.

Lastly, I would like to congratulate the other winners of the hackathon and I look forward to participating in other competitions in the future."
98,"The past 3 days have been meaningful and significant at Income as we launched an inaugural #FutureX hackathon with top universities in the region 🇸🇬🇻🇳🇮🇩🇹🇭 to celebrate Singapore Blockchain Week.

Thank you Amazon Web Services (AWS) and Plug and Play APAC for the opportunity to co-create alongside your expert teams and to seed a community of nextgen innovators in #blockchain.

💯 It has been an intensive yet inspiring mentorship journey - The late nights and amazing energy with the young bright minds, all worthwhile to bring value to customers with new technologies. Can’t wait to crown the finalists in 2 weeks!

🙌🏼 Special shout-out to Giuseppe Marazzotta for believing we can push boundaries together and making this industry collaboration happen! And this is only made possible with the great dedication of Siew Lynn Goon Weiyi Liu towards content curation and prioritising the success of our participants!

Peter Tay Andrew Yeo Aaron Chen Li Andrena Ong Wei Chyin Tan, FCAS FSAS Tek Yew Chia Keshav Baweja Ricky Ferdian Hung Hoang May Suvannavong Michelle Toh Catherine Quek Leila Yu Wayne Soh

#insuranceinnovation #IncomeMadeYours"
99,"What a great way to start the year! Across the past 2 days, Linn Htet Aung and I were fortunate to be among the 700+ participants for Hack&Roll 2022. Hack&Roll is an annual hackathon organized by NUS Hackers, for students from any Singapore educational institution, anywhere from primary school to graduate studies. To prepare us for the 24hrs hackathon, a series of workshops was held across the week for participants, namely Intros to Web Development, Game Design, Telegram bots and last but not least, Machine Learning. These workshops was taught professionals from Indeed, Mastercard, Google and NUS Game Development Group.

My teammate and I worked on a project that involves the usage of a Raspberry Pi for home automation. More details can be found under our project's Devpost link below.

We are proud to be awarded the Best Hardware Hack Prize among the many submissions, and would like to thank the judges and organizers for the amazing experience at this year's iteration. Looking ahead, this is a certainly a good start to the year and I look forward to what awaits in 2022!

Devpost link: https://lnkd.in/gHy67_ZQ

#hackathon #raspberrypi #arduino #homeautomation #students #experience #project"
100,"There goes the end of my 2-week ride on the UK Singapore Universities Alliance for Entrepreneurship and Innovation (UKSAEI) Climate Change and Sustainability Hackathon express, my very first hackathon! An incredible experience made even more so with a podium finish for our team as 1st runner-up🥈🎉!

It was an honour to have spent it collaborating with a growing community of change-makers, designing and implementing change aiming towards net-zero emissions.
Every bit towards mitigating climate change counts and our collective efforts can make a difference. Let's start with ourselves as individuals!

Many thanks to H.E. Kara Owens, Michael Yap, panellists, mentors, and the UKSAEI organising committee for the event and for driving these initiatives.

Without a doubt, this journey was only made possible by the Clockwork team Jia Heng Phua, Sarah Luposo Tuke, Zoe Taylor, Bailey Fackney & Jerri Antono; a multidisciplinary group of like-minded individuals from five different universities across two continents. 

Credits:
UI/UX - Jia Heng Phua
Media & Graphics - Zoe Taylor, Bailey Fackney
Solution Innovation - team@Clockwork

#UKSAEI #climatechange #SUTD #changestartswithyou #hackathon #sustainability #Clockwork #🌏"
101,"Southeast Asian technology companies have a strong track record of hiring women— better than tech companies in US, Britain and Australia. Yet the region has further to go to reach true parity in the number of women who work in tech compared with other industries.

According to a STEM Gender gap report by Nanyang Technological University Singapore Females make up only 21 per cent of Singapore’s engineering graduates and 28 per cent of information technology graduates.

“Hackathon” style workshops are gaining momentum in this market as it gives younger generations an opportunity to think laterally about solving real world problems and it’s encouraging to see J.P. Morgan inspiring the next generation of female leaders within technology industries.

(https://lnkd.in/gFhJmkDG)

I have had the pleasure of working with non-profit WISE - WASH in Southeast Asia who are also advocates of this type of learning to help create sustainable behaviour change through technology.

https://lnkd.in/gKfkxHQW

It is not only technology industries where a lack of female leaders highlights a missed opportunity. Consider that across all industries, women make up more than 50% of university graduates but fewer than 15% of CEO and board-level positions in Southeast Asia. This is a problem worldwide, and in all industries, due to an array of deep-rooted issues.

According to a BCG paper from 2020, “companies where women account for more than 20% of the management team have approximately 10% higher innovation revenues than companies with male-dominated leadership.”

There is a common misconception that male counterparts within technology industries have greater competencies, which in turn has an impact on the number of female leaders and therefore role models, especially within Asia.

The more we hear about these types of initiatives the better, as it highlights the stories of those role models that are inspiring and making strides in this industry. Yoke Pean Thye

#joeblogs #leadership #arcadiaconsulting
#training

References in the comments"
102,"Glad that this FinTech 101 course, which I contributed an #Insuretech chapter to, will be taken by the 500 participants in the #PolyFinTech100 API Hackathon before they start working on their solutions.
￼
Ministry of Education, Singapore (MOE) will also publicise the course to students in Junior Colleges and ITE will share this with their students as part of the Lifeskills Series.

Thanks Tan Ching Ching and Su Tay for the opportunity to give back to the FinTech #ecosystem in such a meaningful way. This is really a win-win-win proposition, as we have found that the best solutions come from participants who understand our industry.

#HumansAtPru #ConnectGrowSucceed"
103,"It was my pleasure to be invited to represent Singapore University of Social Sciences (SUSS) to judge at MindfulHacks 2022, a student-led mental health hackathon. The event concluded yesterday at NVPC - Towards a City of Good.

The top teams were:
1st: PotatoFarmer - an app for journalling as a way to increase client and therapist engagement, with sentiment analysis capabilities to alert the therapists to possibilities of high risk cases
2nd: Pawsitive - a game to educate students on Psychological First Aid
3rd: Counsella - an AR counsellor whom one can talk to in between scheduled counselling sessions

I had fun judging and looking through the interesting ideas and prototypes that the students came up with (there was even a Tinder-like app for healthcare providers to seek mental health support). Glad I got to put my training in psychology to good use after so many years. Most importantly, I hope the students do not stop working on the ideas after the competition and that one day we can see some of them become entrepreneurs in the service of society.

Special thanks to Timothy Liau and Rachel Tan for inviting me, and fellow judges Derek Joseph Sun, Hanh B., Wang Wei and Andy T..

#socialimpact #startups #entrepreneurship #mentalhealth"
104,"1-Minute Wisdom (4 Feb 2022) from NEO Institute

Corporate Innovation 5: Incubators & Accelerators 孵化和加速

Hackathons help us to generate new ideas and proof-of-concept. How to continue from there?

Increasinlgy, organisations create Innovation Centres to bring these new ideas to life. There are more than 50 corporate innovation centres in Singapore (finanical institutions, consumers, industrial...)!

What do these Innovation Centres do?
- Hackathons: generate solutions to challenging problems
- Incubations: generate proof of concept on commerical use
- Accelerations: generate proof of values (and revenue) on commercial roll-out

#neoinstitute #hackathon #incubation #acceleration #innovation #centre"
105,"Solana Summer Camp is an online hackathon where builders turn ideas into the next big Web3 project. The Singapore edition was hosted by SolanaFM and Metacamp (previously OpenHaus).

I had the privilege of attending various seminars throughout the month long event, where I’ve learnt so much and even met some really awesome builders! The next big thing is definitely out there, and events like Solana Summer Camp can provide the right guidance and resources for these growing projects. ⚒️

Huge thanks to Fathur Rahman for the invite and giving me the opportunity to learn more, and special thanks to Jonas Chen for the amazing hospitality! It was an amazing event! 🥳"
106,"First runner up in CARRO x Amazon Web Services (AWS) Hackathon over the weekend!

Good job Team Pavlovian Isaac Ibrahim Wilbur Lua Kennard Ko Oh Qi Qi 胡淇淇

Singapore Institute of Technology
University of Glasgow

#computerscience #datascience #opentowork"
